provider,plan_name,region,country,data_gb,validity_days,price,product_url,timestamp
Honest Mobile,Smart SIM Global,Global,Multi,unlimited,365,45.00,https://honestmobile.com/smart-sim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Honest Mobile,Unlimited Plan,Europe,UK,unlimited,30,25.00,https://honestmobile.com/plans?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Honest Mobile,10GB Plan,Europe,UK,10,30,17.50,https://honestmobile.com/plans?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Sim Local,UK 80GB (EE),Europe,UK,80,30,15.80,https://www.simlocal.com/plan-selection/united-kingdom?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Sim Local,UK 30GB (EE),Europe,UK,30,30,15.00,https://www.simlocal.com/plan-selection/united-kingdom?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
SMARTY,UK Unlimited,Europe,UK,unlimited,30,20.00,https://smarty.co.uk/all-plans?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Jetpac,UK 10GB,Europe,UK,10,30,15.80,https://www.jetpacglobal.com/product-details/united-kingdom-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,United Kingdom 1GB,Europe,UK,1,7,3.95,https://www.airalo.com/united-kingdom-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,United Kingdom 5GB,Europe,UK,5,30,11.85,https://www.airalo.com/united-kingdom-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,Europe 10GB,Europe,Multi,10,30,27.65,https://www.airalo.com/europe-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,Japan 10GB,Asia,Japan,10,30,15.00,https://www.airalo.com/japan-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,USA 5GB,North America,USA,5,30,13.00,https://www.airalo.com/united-states-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,Australia 10GB,Oceania,Australia,10,30,18.00,https://www.airalo.com/australia-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,South Africa 5GB,Africa,South Africa,5,30,17.00,https://www.airalo.com/south-africa-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Airalo,Discover Global 10GB,Global,Multi,10,365,47.00,https://www.airalo.com/global-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Nomad,USA 10GB,North America,USA,10,30,14.00,https://www.getnomad.app/usa-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Nomad,Thailand 15GB,Asia,Thailand,15,30,15.00,https://www.getnomad.app/thailand-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Nomad,South America 10GB,South America,Multi,10,30,23.00,https://www.getnomad.app/south-america-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Holafly,Europe Unlimited 15d,Europe,Multi,unlimited,15,38.00,https://esim.holafly.com/europe-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Holafly,Asia Unlimited 15d,Asia,Multi,unlimited,15,38.00,https://esim.holafly.com/asia-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Saily,Europe 20GB,Europe,Multi,20,30,21.00,https://saily.com/europe-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
Saily,Brazil 5GB,South America,Brazil,5,30,14.00,https://saily.com/brazil-esim?ref=YOUR_AFFILIATE_ID,2026-07-08T09:00:00Z
